"","row_names","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"56",56,"UHA-0110",13,5.52e-05,3.71e-06,"UHA-0257",13,13,0,10.8,"UHA-0258",12,12,1,4.72,4.72,"*",12,2,0.996,0.996,"*"
"57",57,"UHA-0036",12,0.000164,3.62e-05,"UHA-0261",13,12,1,4.66,"UHA-0257",13,12,0,7.99,7.99,"*",12,1,11.5,11.5,"*"
"58",58,"UHA-0037",13,0.00017,3.71e-06,"UHA-0261",13,13,1,3.25,"UHA-0257",13,13,0,8.4,8.4,"*",13,2,8.89,8.89,"*"
"59",59,"UHA-0038",13,0.000179,1.57e-06,"UHA-0261",13,13,1,5.89,"UHA-0351",13,13,0,13.1,13.1,"*",13,2,11.7,10.3,"*"
"60",60,"UHA-0089",13,2.31e-05,4.84e-07,"UHA-0014",13,13,0,10.7,"UHA-0266",12,12,1,5.56,0,"",12,1,8.05,8.05,"*"
"61",61,"UHA-0040",13,0.00142,0.000626,"UHA-0261",13,13,1,6.69,"UHA-0351",13,13,1,4.24,1.77,"*",13,2,5.13,5.13,"*"
"62",62,"UHA-0041",13,5.83e-05,2.85e-08,"UHA-0261",13,13,0,11.5,"UHA-0260",13,13,1,10.7,10.7,"*",13,1,12.8,12.8,"*"
"63",63,"UHA-0090",13,9.87e-05,3.01e-07,"UHA-0014",13,13,0,8.46,"UHA-0266",12,12,0,12.1,2.25,"*",12,0,15.2,15.2,"*"
"64",64,"UHA-0059",13,5.26e-05,1.65e-05,"UHA-0260",13,13,1,9.25,"UHA-0257",13,13,0,9.01,9.01,"*",13,1,11.9,11.9,"*"
"66",66,"UHA-0082",13,0.000304,2.52e-05,"UHA-0014",13,13,0,10.7,"UHA-0011",13,13,0,8.29,0,"",13,1,6.32,0.00845,"*"
"67",67,"UHA-0083",13,0.000224,4.07e-06,"UHA-0014",13,13,0,9.13,"UHA-0266",12,12,1,4.86,0,"",12,1,7.08,7.08,"*"
"68",68,"UHA-0084",13,0.000273,2.7e-06,"UHA-0014",13,13,0,8.4,"UHA-0266",12,12,0,11.4,8.05,"*",12,0,14.2,14.2,"*"
"69",69,"UHA-0085",13,0.000188,7.28e-06,"UHA-0014",13,13,0,10.7,"UHA-0266",12,12,0,9.83,4.8,"*",12,0,12.8,12.8,"*"
"70",70,"UHA-0086",13,0.000137,4.31e-06,"UHA-0014",13,13,0,10.7,"UHA-0266",12,12,0,10.4,5.37,"*",12,0,13.4,13.4,"*"
"71",71,"UHA-0087",13,1.48e-05,0.000151,"UHA-0014",13,13,1,7.51,"UHA-0262",13,13,0,13.8,6.7,"*",13,1,13.1,7.17,"*"
"72",72,"UHA-0088",13,0.000171,2.24e-05,"UHA-0014",13,13,0,9.07,"UHA-0262",13,13,0,9.57,7.17,"*",13,2,1.68,1.68,"*"
"73",73,"UHA-0091",13,0.000186,3.25e-06,"UHA-0014",13,13,0,8.13,"UHA-0266",12,12,1,4.97,0.26,"+",12,1,7.01,7.01,"*"
"74",74,"UHA-0113",13,0.00021,2.52e-05,"UHA-0257",13,13,0,10.5,"UHA-0260",13,13,0,7.78,7.78,"*",13,0,11.1,11.1,"*"
"75",75,"UHA-0114",12,0.000133,5.84e-08,"UHA-0257",13,12,0,8.46,"UHA-0260",13,12,1,8.67,8.67,"*",12,1,12,12,"*"
"76",76,"UHA-0115",12,0.000487,1.88e-05,"UHA-0351",13,12,0,8.43,"UHA-0258",12,11,1,3.85,3.85,"*",11,1,5.76,5.76,"*"
"77",77,"UHA-0116",13,7.09e-05,4.03e-07,"UHA-0351",13,13,1,5,"UHA-0260",13,13,0,12.3,12.3,"*",13,1,15.9,15.9,"*"
"78",78,"UHA-0118",13,0.000109,1.5e-06,"UHA-0351",13,13,1,6.45,"UHA-0261",13,13,0,13.9,13.9,"*",13,1,15.6,15.6,"*"
"79",79,"UHA-0119",13,0.000359,1.76e-05,"UHA-0351",13,13,1,5.7,"UHA-0257",13,13,0,10.9,10.9,"*",13,1,11.9,11.9,"*"
"80",80,"UHA-0120",13,1.91e-05,8.22e-07,"UHA-0351",13,13,1,7.28,"UHA-0257",13,13,0,11.6,11.6,"*",13,1,14.5,14.5,"*"
"81",81,"UHA-0121",13,2.74e-05,5.29e-06,"UHA-0351",13,13,1,8.96,"UHA-0257",13,13,0,9.85,9.85,"*",13,1,12.5,12.5,"*"
"82",82,"UHA-0122",13,0.000173,1.97e-05,"UHA-0351",13,13,0,16.4,"UHA-0257",13,13,0,8.52,8.52,"*",13,0,11.2,11.2,"*"
"83",83,"UHA-0123",13,6.28e-05,9.31e-05,"UHA-0010",12,12,1,3.82,"UHA-0259",12,12,1,5.69,2.83,"*",12,2,6.83,6.83,"*"
"84",84,"UHA-0124",12,0.00258,0.000203,"UHA-0010",12,11,0,5.92,"UHA-0259",12,11,1,2.42,0,"",11,1,3.64,3.64,"*"
"87",87,"UHA-0129",12,0.00289,4.46e-05,"UHA-0010",12,11,0,6.85,"UHA-0259",12,11,1,1.58,0,"",11,1,4.92,4.92,"*"
"88",88,"UHA-0130",13,0.000285,0.000137,"UHA-0010",12,12,1,4.21,"UHA-0259",12,12,1,4.3,0.371,"+",12,2,6.23,6.17,"*"
"91",91,"UHA-0133",12,0.00275,0.000574,"UHA-0010",12,12,0,9.22,"UHA-0015",13,12,1,1.95,0,"",12,1,4.43,0.0026,"*"
"92",92,"UHA-0134",12,8.4e-05,1.1e-05,"UHA-0010",12,11,1,3.92,"UHA-0259",12,11,0,10.7,6.17,"*",11,1,12.8,12.8,"*"
"93",93,"UHA-0136",13,0.000362,4.46e-05,"UHA-0010",12,12,1,2.94,"UHA-0259",12,12,1,4.4,0.0841,"+",12,2,7.1,7.1,"*"
"94",94,"UHA-0137",13,0.000457,0.000184,"UHA-0010",12,12,1,3.26,"UHA-0259",12,12,1,4.09,0,"",12,2,5.97,3.3,"*"
"96",96,"UHA-0139",13,7.02e-05,5.37e-06,"UHA-0010",12,12,0,9.78,"UHA-0260",13,13,0,11.6,11.6,"*",13,0,13.3,13.3,"*"
"98",98,"UHA-0141",13,0.00049,1.19e-06,"UHA-0010",12,12,0,7.37,"UHA-0257",13,13,0,7.7,6.7,"*",13,0,12.9,12.9,"*"
"99",99,"UHA-0143",13,0.000169,4.2e-05,"UHA-0010",12,12,1,3.63,"UHA-0259",12,12,1,4.69,4.69,"*",12,2,7.36,7.36,"*"
"100",100,"UHA-0144",13,0.000119,2.04e-06,"UHA-0010",12,12,0,9.36,"UHA-0259",12,12,1,3.73,0,"",12,1,6.66,6.66,"*"
"102",102,"UHA-0147",12,0.000108,5.76e-07,"UHA-0010",12,11,0,8.28,"UHA-0259",12,11,0,11.2,11.2,"*",11,0,15.4,15.4,"*"
"103",103,"UHA-0150",13,0.000173,1.4e-06,"UHA-0012",13,13,0,10.6,"UHA-0266",12,12,0,11.4,11.4,"*",12,0,14.4,14.4,"*"
"104",104,"UHA-0162",12,0.00113,1.73e-07,"UHA-0012",13,12,0,6.91,"UHA-0177",12,12,0,13.5,12.6,"*",12,0,18.8,14.8,"*"
"105",105,"UHA-0163",13,0.000278,2.76e-06,"UHA-0012",13,13,0,12.5,"UHA-0258",12,12,2,-2.08,0,"",12,2,0.295,0.165,"*"
"106",106,"UHA-0164",11,0.000814,0.000116,"UHA-0016",11,9,0,9.16,"UHA-0264",13,11,0,12.6,0.554,"+",11,1,6.28,1.34,"*"
"107",107,"UHA-0165",13,0.000114,7.29e-05,"UHA-0016",11,11,1,3.26,"UHA-0266",12,12,1,4.33,0,"",12,2,4.2,3.78,"*"
"108",108,"UHA-0167",10,0.00127,3.39e-06,"UHA-0013",13,10,0,7.07,"UHA-0260",13,10,1,5.33,0,"",10,1,6.43,6.43,"*"
"110",110,"UHA-0151",13,0.00019,3.13e-05,"UHA-0012",13,13,0,13.8,"UHA-0351",13,13,1,3.03,3.03,"*",13,1,5.64,5.64,"*"
"111",111,"UHA-0152",13,0.00034,7.45e-07,"UHA-0012",13,13,0,9.46,"UHA-0260",13,13,1,6.57,2.64,"*",13,1,10.4,10.4,"*"
"112",112,"UHA-0153",13,3.44e-05,1.48e-07,"UHA-0012",13,13,0,13,"UHA-0260",13,13,1,4.55,4.55,"*",13,1,7.97,7.97,"*"
"114",114,"UHA-0155",13,0.000249,5.65e-07,"UHA-0012",13,13,0,10.5,"UHA-0257",13,13,0,8.84,8.84,"*",13,0,14.4,14.4,"*"
"116",116,"UHA-0157",12,0.000271,2.72e-06,"UHA-0012",13,12,0,9.86,"UHA-0258",12,11,1,3.71,3.71,"*",11,1,7.04,7.04,"*"
"118",118,"UHA-0159",13,0.000277,2.4e-05,"UHA-0012",13,13,1,3.81,"UHA-0260",13,13,0,9.3,9.3,"*",13,1,12.1,8.21,"*"
"119",119,"UHA-0160",13,0.000179,1.68e-07,"UHA-0012",13,13,0,11.7,"UHA-0257",13,13,0,9.95,9.95,"*",13,0,15.7,15.7,"*"
"120",120,"UHA-0161",13,0.000305,1.93e-06,"UHA-0012",13,13,0,11.1,"UHA-0260",13,13,1,5.58,5.24,"*",13,1,9.41,9.41,"*"
"121",121,"UHA-0426",13,0.000652,2.24e-06,"UHA-0009",13,13,0,9.76,"UHA-0259",12,12,2,-1.72,0,"",12,2,0.194,0.194,"*"
"122",122,"UHA-0427",13,0.000105,3.3e-07,"UHA-0015",13,13,1,5.75,"UHA-0260",13,13,1,7.69,1.12,"+",13,2,9.99,9.99,"*"
"123",123,"UHA-0428",13,4.56e-05,6.37e-07,"UHA-0015",13,13,1,6,"UHA-0266",12,12,2,0.697,0,"",12,3,2.08,2.08,"*"
"124",124,"UHA-0429",13,8.26e-05,3.53e-06,"UHA-0012",13,13,0,13.6,"UHA-0258",12,12,0,9.42,9.42,"*",12,0,13.6,13.6,"*"
"125",125,"UHA-0430",13,8.54e-05,4.41e-07,"UHA-0012",13,13,0,10.4,"UHA-0260",13,13,1,3.41,1.1,"+",13,1,6.83,6.83,"*"
"126",126,"UHA-0431",13,2.45e-05,1.09e-07,"UHA-0012",13,13,0,15,"UHA-0260",13,13,1,4.63,4.63,"*",13,1,8.44,8.44,"*"
"127",127,"UHA-0432",12,0.000217,8.6e-07,"UHA-0012",13,12,0,8.09,"UHA-0258",12,12,1,5.14,4.2,"*",12,1,8.58,8.58,"*"
"128",128,"UHA-0433",13,0.000921,3.66e-06,"UHA-0012",13,13,0,7.5,"UHA-0258",12,12,1,4.34,1.64,"+",12,1,7.5,6.66,"*"
"131",131,"UHA-0436",13,0.000201,3.98e-06,"UHA-0010",12,12,0,10.9,"UHA-0259",12,12,1,4.3,0,"",12,1,7.56,7.56,"*"
"132",132,"UHA-0437",13,0.000243,0.000171,"UHA-0010",12,12,1,3.98,"UHA-0259",12,12,1,4.06,0,"",12,2,5.8,5.8,"*"
"133",133,"UHA-0438",13,5.02e-05,9.66e-06,"UHA-0010",12,12,1,2.56,"UHA-0259",12,12,2,0.235,0.235,"+",12,2,6.77,6.77,"*"
"134",134,"UHA-0439",13,3.13e-05,1.43e-05,"UHA-0010",12,12,1,4.43,"UHA-0260",13,13,0,12.3,11.4,"*",13,1,12.5,8.72,"*"
"135",135,"UHA-0440",13,0.000351,6e-08,"UHA-0260",13,13,0,9.54,"UHA-0351",13,13,1,8.17,5.39,"*",13,1,12.1,12.1,"*"
"136",136,"UHA-0441",13,0.000169,6.7e-07,"UHA-0260",13,13,0,9.1,"UHA-0261",13,13,0,14.7,10.8,"*",13,0,16.5,16.5,"*"
"137",137,"UHA-0442",13,0.000113,1.88e-06,"UHA-0260",13,13,0,12.3,"UHA-0261",13,13,1,5.82,3.12,"*",13,1,7.12,6.62,"*"
"138",138,"UHA-0443",13,0.000672,1.62e-05,"UHA-0260",13,13,1,5.11,"UHA-0257",13,13,0,8.76,8.76,"*",13,1,11.7,11.7,"*"
"139",139,"UHA-0444",13,0.000416,3.56e-07,"UHA-0260",13,13,1,2.2,"UHA-0257",13,13,0,12,12,"*",13,1,15.9,15.9,"*"
"140",140,"UHA-0445",13,0.000163,3.92e-06,"UHA-0260",13,13,0,8.16,"UHA-0257",13,13,0,9.7,9.56,"*",13,0,12.5,11.6,"*"
"141",141,"UHA-0446",13,0.000176,2.83e-06,"UHA-0260",13,13,0,12.6,"UHA-0263",13,13,2,-1.58,0,"",13,2,0.807,0.807,"*"
"142",142,"UHA-0447",13,0.000932,5.2e-07,"UHA-0260",13,13,0,7.85,"UHA-0257",13,13,0,10.1,10.1,"*",13,0,14.6,14.6,"*"
"143",143,"UHA-0448",13,0.000737,5.42e-07,"UHA-0260",13,13,0,8.92,"UHA-0257",13,13,0,9.83,9.83,"*",13,0,14.5,14.5,"*"
"144",144,"UHA-0449",13,7.8e-05,6.42e-06,"UHA-0260",13,13,1,7,"UHA-0257",13,13,0,9.48,9.48,"*",13,1,12.6,12.6,"*"
"145",145,"UHA-0450",13,0.000328,1.4e-07,"UHA-0260",13,13,0,7.02,"UHA-0257",13,13,0,10.8,10.8,"*",13,0,16,16,"*"
"146",146,"UHA-0451",13,5e-04,4.91e-07,"UHA-0260",13,13,1,2.05,"UHA-0257",13,13,0,11.7,11.7,"*",13,1,15.6,15.6,"*"
"147",147,"UHA-0452",13,4.75e-05,1.08e-05,"UHA-0260",13,13,2,0.969,"UHA-0257",13,13,0,10.6,10.6,"*",13,2,13.1,13.1,"*"
"148",148,"UHA-0453",13,0.000946,9.45e-08,"UHA-0260",13,13,0,4.44,"UHA-0257",13,13,0,12,12,"*",13,0,16.4,16.4,"*"
"149",149,"UHA-0454",13,0.000133,3.3e-06,"UHA-0257",13,13,0,9.21,"UHA-0260",13,13,0,9.78,9.78,"*",13,0,13.2,13.2,"*"
"150",150,"UHA-0455",13,8.18e-05,1.38e-07,"UHA-0257",13,13,0,8.67,"UHA-0260",13,13,1,7.62,7.62,"*",13,1,10.5,10.5,"*"
"151",151,"UHA-0456",13,0.000692,3.21e-05,"UHA-0257",13,13,0,10.2,"UHA-0260",13,13,0,6.52,6.52,"*",13,0,10.8,10.8,"*"
"152",152,"UHA-0457",13,3.71e-05,4.22e-06,"UHA-0257",13,13,0,12,"UHA-0258",12,12,1,5.3,5.3,"*",12,1,6.87,6.87,"*"
"153",153,"UHA-0458",13,5.76e-05,1.1e-06,"UHA-0257",13,13,0,10.7,"UHA-0258",12,12,1,5.99,5.99,"*",12,1,8.17,8.17,"*"
"154",154,"UHA-0459",13,0.000529,4.78e-06,"UHA-0257",13,13,0,9.88,"UHA-0258",12,12,1,6.15,6.15,"*",12,1,7.73,7.73,"*"
"155",155,"UHA-0460",13,0.00133,6.96e-07,"UHA-0257",13,13,0,7.36,"UHA-0260",13,13,0,11,11,"*",13,0,15,15,"*"
