Tissue ID,DNA_ID,Temporary Name,Accession Number,Parent or offspring? (P/O),Species,Extracted?,Diluted and PCRs run?,MP1 Amplified?,MP2 Amplified?,MP3 Amplified?,Notes,Date of Collection,Longitude,Latitude,DBH(cm),DBH 2(cm),DBH 3(cm),DBH 4 (cm),Notes
UHA-0066,SH-Q3017,QUMU-MT7-1-0054,570-78*1-0024,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0082,SH-Q3018,QUMU-MT8-1-0017,704-46*13-0016,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0083,SH-Q3019,QUMU-MT8-0022,704-46*13-0017,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0084,SH-Q3020,QUMU-MT8-0024,704-46*13-0018,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0085,SH-Q3021,QUMU-MT8-0025,704-46*13-0019,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0086,SH-Q3022,QUMU-MT8-1-0004,704-46*13-0020,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0087,SH-Q3023,QUMU-MT8-1-0005,704-46*13-0021,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0088,SH-Q3024,QUMU-MT8-1-0006,704-46*13-0022,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0091,SH-Q3067,QUMU-MT8-1-0019,704-46*13-0025,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0113,SH-Q3068,QUMU-MT17-0021,549-82*4-0016,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0114,SH-Q3069,QUMU-MT17-0023,549-82*4-0017,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0115,SH-Q3070,QUMU-MT18-0001,549-82*5-0001,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0116,SH-Q3071,QUMU-MT18-0002,549-82*5-0002,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0118,SH-Q3072,QUMU-MT18-1-0002,549-82*5-0004,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0119,SH-Q3073,QUMU-MT18-1-0007,549-82*5-0005,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0120,SH-Q3074,QUMU-MT18-1-0018,549-82*5-0006,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0121,SH-Q3075,QUMU-MT18-1-0021,549-82*5-0007,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0122,SH-Q3076,QUMU-MT18-1-0022,549-82*5-0008,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0123,SH-Q3077,QUMU-MT2-1-0001,704-46*8-0001,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0124,SH-Q3078,QUMU-MT2-1-0005,704-46*8-0002,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0125,SH-Q3079,QUMU-MT2-1-0007,704-46*8-0003,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0128,SH-Q3080,QUMU-MT2-1-0011,704-46*8-0006,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0129,SH-Q3081,QUMU-MT2-1-0012,704-46*8-0007,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0130,SH-Q3082,QUMU-MT2-1-0014,704-46*8-0008,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0131,SH-Q3083,QUMU-MT2-1-0015,704-46*8-0009,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0132,SH-Q3084,QUMU-MT2-1-0016,704-46*8-0010,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0133,SH-Q3085,QUMU-MT2-1-0018,704-46*8-0011,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0134,SH-Q3086,QUMU-MT2-1-0024,704-46*8-0012,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0136,SH-Q3087,QUMU-MT2-1-0026,704-46*8-0014,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0137,SH-Q3088,QUMU-MT2-1-0030,704-46*8-0015,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0138,SH-Q3089,QUMU-MT2-1-0032,704-46*8-0016,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0139,SH-Q3090,QUMU-MT2-1-0036,704-46*8-0017,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0140,SH-Q3091,QUMU-MT2-1-0051,704-46*8-0018,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0141,SH-Q3092,QUMU-MT2-1-0042,704-46*8-0019,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0142,SH-Q3093,QUMU-MT2-1-0044,704-46*8-0020,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0143,SH-Q3094,QUMU-MT2-1-0045,704-46*8-0021,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0144,SH-Q3095,QUMU-MT2-1-0046,704-46*8-0022,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0145,SH-Q3096,QUMU-MT2-1-0048,704-46*8-0023,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0146,SH-Q3097,QUMU-MT2-1-0049,704-46*8-0024,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0147,SH-Q3098,QUMU-MT2-1-0050,704-46*8-0025,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0150,SH-Q3099,QUMU-MT4-0005,704-46*1-0003,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0162,SH-Q3102,QUMU-MT4-0023,704-46*1-0015,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0163,SH-Q3103,QUMU-MT4-0025,704-46*1-0016,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0164,SH-Q3104,QUMU-MT13-0004,704-46*14-0001,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0165,SH-Q3105,QUMU-MT13-0006,704-46*14-0002,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0167,SH-Q3106,QUMU-MT6-0014,704-46*6-0002,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0168,SH-Q3107,QUMU-MT6-0018,704-46*6-0003,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0170,SH-Q3108,QUMU-MT6-0020,704-46*6-0005,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0171,SH-Q3109,QUMU-MT18-0020,549-82*5-0009,O,Q. muehlenbergii,X,,,,,,,,,,,,,
UHA-0148,SH-Q3121,QUMU-MT4-0002,704-46*1-0001,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0151,SH-Q3122,QUMU-MT4-0007,704-46*1-0004,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0152,SH-Q3123,QUMU-MT4-0009,704-46*1-0005,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0153,SH-Q3124,QUMU-MT4-0010,704-46*1-0006,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0154,SH-Q3125,QUMU-MT4-0012,704-46*1-0007,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0155,SH-Q3126,QUMU-MT4-0014,704-46*1-0008,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0156,SH-Q3127,QUMU-MT4-0015,704-46*1-0009,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0157,SH-Q3128,QUMU-MT4-0016,704-46*1-0010,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0158,SH-Q3129,QUMU-MT4-0018,704-46*1-0011,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0159,SH-Q3130,QUMU-MT4-0019,704-46*1-0012,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0160,SH-Q3131,QUMU-MT4-0020,704-46*1-0013,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0161,SH-Q3132,QUMU-MT4-0021,704-46*1-0014,O,Q. muehlenbergii,X,,,,,Resampled 9/6/23 due to tissue necrosis ,,,,,,,,
UHA-0030,,QUMU-MT16-1-0004,570-78*3-0012,O,Q. muehlenbergii,No tissue,,,,,,,,,,,,,
UHA-0031,,QUMU-MT16-1-0010,570-78*3-0013,O,Q. muehlenbergii,No tissue,,,,,,,,,,,,,
UHA-0032,,QUMU-MT16-1-0013,570-78*3-0014,O,Q. muehlenbergii,No tissue,,,,,,,,,,,,,
UHA-0042,,QUMU-MT16-0018,570-78*3-0024,O,Q. muehlenbergii,No tissue,,,,,,,,,,,,,
UHA-0057,,QUMU-MT7-1-0024,570-78*1-0015,O,Q. muehlenbergii,No tissue,,,,,,,,,,,,,
UHA-0117,,QUMU-MT18-0003,549-82*5-0003,O,Q. muehlenbergii,No tissue,,,,,,,,,,,,,
UHA-0149,,QUMU-MT4-0004,704-46*1-0002,O,Q. muehlenbergii,No tissue,,,,,,,,,,,,,
UHA-0426,,QUMU-MT1-0001,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0427,,QUMU-MT9-0007,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0428,,QUMU-MT9-1-0027,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0429,,QUMU-MT4-0003,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0430,,QUMU-MT4-0006,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0431,,QUMU-MT4-0008,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0432,,QUMU-MT4-0011,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0433,,QUMU-MT4-0013,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0434,,QUMU-MT4-0017,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0435,,QUMU-MT2-1-0006,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0436,,QUMU-MT2-1-0013,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0437,,QUMU-MT2-1-0021,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0438,,QUMU-MT2-1-0022,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0439,,QUMU-MT2-1-0023,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0440,,QUMU-MT7-1-0004,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0441,,QUMU-MT7-1-0008,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0442,,QUMU-MT7-1-0014,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0443,,QUMU-MT7-1-0017,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0444,,QUMU-MT7-1-0018,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0445,,QUMU-MT7-1-0023,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0446,,QUMU-MT7-1-0031,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0447,,QUMU-MT7-1-0033,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0448,,QUMU-MT7-1-0036,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0449,,QUMU-MT7-1-0039,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0450,,QUMU-MT7-1-0040,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0451,,QUMU-MT7-1-0042,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0452,,QUMU-MT7-1-0043,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0453,,QUMU-MT7-1-0049,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0454,,QUMU-MT17-0007,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0455,,QUMU-MT17-0008,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0456,,QUMU-MT17-0012,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0457,,QUMU-MT17-0013,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0458,,QUMU-MT17-0022,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0459,,QUMU-MT17-0024,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0460,,QUMU-MT17-0025,NA,O,Q. muehlenbergii ,,,,,,,06/23/23,,,,,,,
UHA-0001,SH-Q2612,QUAL-MT1,755-79*1,P,Q. alba,X,X,X,X,X,,,-88.066639,41.8139531,45.5,,,,"Old lat/long: (41.814518,-88.066243)"
UHA-0002,SH-Q2613,QUAL-MT2,755-79*5,P,Q. alba,X,X,X,X,X,,,-88.066559,41.813961,34.8,,,,"Old lat/long: (41.815203,-88.071058)"
UHA-0003,SH-Q2614,QUAL-MT3,134-U*72,P,Q. alba,X,X,X,X,X,,,-88.068732,41.815779,71.2,,,,
UHA-0004,SH-Q2615,QUBI-MT1,463-84*5,P,Q. bicolor,X,X,X,X,X,,,-88.066721,41.814783,61.9,,,,
UHA-0005,SH-Q2616,QUBI-MT4,789-2004*3,P,Q. bicolor,X,X,X,X,X,,,-88.0708121,41.815453,43.9,,,,"Old lat/long: (41.817355,-88.064352)"
UHA-0006,SH-Q2617,QUBI-MT6,789-2004*2,P,Q. bicolor,X,X,X,X,X,,,-88.071058,41.815203,37.1,,,,"Old lat/long: (41.815453, -88.070812)"
UHA-0007,SH-Q2618,QUMA-MT1,478-2001*2,P,Q. macrocarpa,X,X,X,X,X,,,-88.065814,41.815105,31.8,,,,
