"Offspring_ID","Mother_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0111","UHA-0257","UHA-0015","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.063254,41.81167,"704-46*12",FALSE,"549-82","704-46",335.980355953826,FALSE
"UHA-0112","UHA-0257","UHA-0256","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.065297,41.814547,"474-2001*1",FALSE,"549-82","474-20",68.853501083083,FALSE
"UHA-0113","UHA-0257","UHA-0332","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. macrocarpa",-88.063,41.813641,NA,NA,"549-82",NA,234.350042625807,TRUE
"UHA-0114","UHA-0257","UHA-0260","Q. muehlenbergii",-88.06577,41.814038,"549-82*4","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"549-82","570-78",52.0859387338163,FALSE
"UHA-0123","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0124","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0125","UHA-0010","UHA-0016","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.063069,41.811735,"704-46*14",TRUE,"704-46","704-46",647.236699501926,FALSE
"UHA-0128","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0129","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0130","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0131","UHA-0010","UHA-0016","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.063069,41.811735,"704-46*14",TRUE,"704-46","704-46",647.236699501926,FALSE
"UHA-0132","UHA-0010","UHA-0263","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.063389,41.811663,"704-46*11",TRUE,"704-46","704-46",639.597044707787,FALSE
"UHA-0133","UHA-0010","UHA-0263","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.063389,41.811663,"704-46*11",TRUE,"704-46","704-46",639.597044707787,FALSE
"UHA-0137","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0138","UHA-0010","UHA-0345","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. macrocarpa",-88.06521,41.8166,NA,NA,"704-46",NA,183.069841326292,TRUE
"UHA-0139","UHA-0010","UHA-0282","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. macrocarpa",-88.06512606,41.81753361,NA,NA,"704-46",NA,217.976446336462,TRUE
"UHA-0140","UHA-0010","UHA-0260","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",320.609176296008,FALSE
"UHA-0141","UHA-0010","UHA-0266","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",630.247578471617,FALSE
"UHA-0142","UHA-0010","UHA-0261","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066218,41.813887,"570-78*3",FALSE,"704-46","570-78",314.317442971161,FALSE
"UHA-0143","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0144","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0146","UHA-0010","UHA-0259","Q. muehlenbergii",-88.067413,41.816572,"704-46*8","Q. muehlenbergii",-88.066622,41.817259,"550-82*6",FALSE,"704-46","550-82",100.706910233348,FALSE
"UHA-0148","UHA-0012","UHA-0187","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. alba",-88.068177,41.813475,"392-2006*1",FALSE,"704-46","392-20",285.370862720939,TRUE
"UHA-0150","UHA-0012","UHA-0266","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",292.926668920982,FALSE
"UHA-0151","UHA-0012","UHA-0264","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.063301,41.811734,"704-46*15",TRUE,"704-46","704-46",283.627299524326,FALSE
"UHA-0152","UHA-0012","UHA-0260","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",292.76026417247,FALSE
"UHA-0153","UHA-0012","UHA-0260","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",292.76026417247,FALSE
"UHA-0154","UHA-0012","UHA-0258","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",332.432959690211,FALSE
"UHA-0155","UHA-0012","UHA-0257","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"704-46","549-82",325.435933133873,FALSE
"UHA-0156","UHA-0012","UHA-0177","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus macrocarpa",-88.06620011,41.8109599,NA,NA,"704-46",NA,43.4919758291121,TRUE
"UHA-0157","UHA-0012","UHA-0258","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",332.432959690211,FALSE
"UHA-0158","UHA-0012","UHA-0339","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. alba",-88.06616,41.817179,NA,NA,"704-46",NA,667.465107291902,TRUE
"UHA-0159","UHA-0012","UHA-0260","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",292.76026417247,FALSE
"UHA-0160","UHA-0012","UHA-0257","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"704-46","549-82",325.435933133873,FALSE
"UHA-0161","UHA-0012","UHA-0260","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",292.76026417247,FALSE
"UHA-0162","UHA-0012","UHA-0177","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Quercus macrocarpa",-88.06620011,41.8109599,NA,NA,"704-46",NA,43.4919758291121,TRUE
"UHA-0163","UHA-0012","UHA-0258","Q. muehlenbergii",-88.066633,41.81118,"704-46*1","Q. muehlenbergii",-88.06581,41.814109,"549-82*6",FALSE,"704-46","549-82",332.432959690211,FALSE
"UHA-0164","UHA-0016","UHA-0264","Q. muehlenbergii",-88.063069,41.811735,"704-46*14","Q. muehlenbergii",-88.063301,41.811734,"704-46*15",TRUE,"704-46","704-46",19.2782496310739,FALSE
"UHA-0165","UHA-0016","UHA-0266","Q. muehlenbergii",-88.063069,41.811735,"704-46*14","Q. muehlenbergii",-88.063221,41.811843,"704-46*17",TRUE,"704-46","704-46",17.4189098382475,FALSE
"UHA-0167","UHA-0016","UHA-0260","Q. muehlenbergii",-88.063069,41.811735,"704-46*14","Q. muehlenbergii",-88.066314,41.813805,"570-78*1",FALSE,"704-46","570-78",354.351307322,FALSE
