12,233,2,70,163,,,,,,,,,,,,,,,,,,,,,
,,,O,P,,,,,,,,,,,,,,,,,,,,,
UHA-0004,P,4,4,13,12,9,16,3,3,14,11,2,2,9,7,6,3,1,1,0,0,2,2,11,9
UHA-0005,P,4,4,14,11,10,9,3,3,13,6,2,2,7,2,3,3,2,2,4,4,5,9,11,9
UHA-0006,P,4,4,14,11,12,9,3,3,13,15,2,2,10,7,4,4,3,3,4,4,2,9,9,9
UHA-0007,P,3,3,17,9,5,8,2,2,16,15,2,2,9,5,4,5,2,2,4,4,6,14,10,11
UHA-0008,P,3,3,15,11,11,5,2,2,15,15,2,2,5,6,5,8,2,3,4,4,9,6,10,9
UHA-0009,P,3,3,13,15,11,13,3,3,16,12,2,2,13,5,1,2,3,3,4,4,7,7,6,12
UHA-0010,P,3,3,13,13,12,13,5,3,7,12,2,3,13,4,0,0,2,3,4,4,12,7,6,10
UHA-0011,P,3,3,13,15,11,13,3,3,16,12,2,3,13,5,1,1,3,3,4,4,7,7,6,6
UHA-0012,P,3,3,13,5,11,6,3,3,12,21,2,2,5,21,1,1,2,2,4,4,8,6,6,6
UHA-0013,P,3,3,13,6,11,13,3,3,16,12,2,2,13,5,1,1,3,3,4,4,7,7,12,11
UHA-0014,P,3,3,13,6,12,13,5,3,12,11,2,2,5,5,1,1,2,3,4,4,7,8,12,11
UHA-0015,P,3,3,13,15,12,13,3,3,16,12,2,3,13,5,2,2,3,3,4,4,7,7,6,12
UHA-0016,P,3,3,13,15,12,6,3,3,14,12,2,2,0,0,0,0,3,3,4,4,7,9,6,2
UHA-0017,P,3,3,10,18,13,4,2,2,11,15,2,2,10,12,3,3,0,0,4,5,8,8,14,11
UHA-0018,P,3,3,13,18,8,3,2,2,15,20,2,2,10,6,6,7,3,3,4,5,8,9,11,9
UHA-0172,P,4,4,8,11,9,16,3,3,15,6,2,2,5,7,6,3,2,2,5,6,10,6,11,9
UHA-0174,P,2,3,15,15,1,8,3,3,7,5,2,2,12,11,5,5,2,2,5,6,5,6,11,9
UHA-0175,P,3,3,15,11,1,15,2,2,7,10,2,2,13,5,4,4,3,3,5,5,9,6,11,13
UHA-0176,P,2,3,3,3,12,4,3,3,11,13,2,2,4,4,2,2,2,2,4,4,5,6,14,15
UHA-0177,P,3,3,14,14,11,11,2,2,11,8,2,2,4,1,4,4,2,2,4,12,7,6,9,9
UHA-0178,P,3,3,3,4,12,12,3,3,11,11,2,2,4,4,2,2,2,2,4,4,5,6,14,12
UHA-0179,P,4,4,12,2,11,10,3,2,11,11,2,1,5,7,2,3,4,4,0,0,2,6,11,9
UHA-0183,P,2,3,3,4,6,7,3,3,18,18,2,2,6,14,2,2,0,0,4,4,2,6,14,14
UHA-0184,P,3,3,3,3,5,5,3,3,13,17,2,4,5,5,2,2,2,2,4,4,5,6,12,12
UHA-0186,P,2,3,3,4,5,8,3,3,21,20,2,2,4,5,2,2,2,2,4,4,2,6,12,18
UHA-0187,P,3,3,3,4,6,6,3,3,12,12,2,2,5,6,2,2,2,2,4,4,5,5,11,9
UHA-0188,P,2,3,3,3,5,7,3,3,7,13,2,2,9,9,2,2,2,2,4,4,7,5,11,17
UHA-0189,P,3,3,3,3,5,6,3,3,7,13,2,2,9,14,2,2,2,2,4,4,7,5,14,11
UHA-0190,P,3,3,3,3,5,6,3,3,7,8,2,2,8,14,2,2,2,2,4,4,2,3,14,11
UHA-0191,P,3,3,3,3,6,6,3,3,10,17,2,1,14,18,2,2,2,2,4,4,5,5,17,17
UHA-0193,P,4,4,12,2,13,4,3,3,10,15,2,2,4,6,3,3,3,3,0,0,2,2,11,9
UHA-0194,P,3,3,12,12,9,9,4,2,13,6,2,6,4,7,0,0,0,0,2,2,2,6,14,9
UHA-0195,P,3,3,11,11,9,15,0,0,15,4,2,2,4,4,3,3,0,0,0,0,2,6,9,9
UHA-0196,P,3,3,12,16,10,6,3,3,8,8,2,2,8,4,3,3,3,3,0,0,2,6,11,11
UHA-0197,P,4,4,8,2,12,14,3,3,7,15,2,2,8,11,3,3,0,0,0,0,2,9,9,9
UHA-0198,P,4,1,8,12,2,8,3,3,11,13,2,2,8,12,5,8,3,3,0,0,10,10,9,9
UHA-0199,P,3,4,15,12,7,7,3,3,13,13,2,2,4,12,3,5,2,2,0,0,2,3,10,11
UHA-0202,P,4,4,8,11,13,13,3,3,11,9,2,3,6,15,5,5,2,2,0,0,2,6,10,11
UHA-0203,P,4,4,8,11,10,14,3,3,13,15,2,2,4,4,3,3,2,4,5,5,3,4,11,11
UHA-0204,P,4,4,12,12,14,21,3,3,12,11,2,2,4,11,6,3,2,2,5,6,9,3,11,9
UHA-0205,P,3,3,11,11,10,15,3,3,15,6,2,2,4,5,3,3,2,2,0,0,2,2,9,9
UHA-0207,P,4,4,13,12,9,16,3,3,14,11,2,2,9,7,6,3,0,0,0,0,2,2,11,9
UHA-0208,P,3,1,13,12,2,4,3,3,12,11,2,2,10,10,4,4,3,3,0,0,2,2,9,9
UHA-0209,P,3,3,11,10,8,9,3,3,9,9,2,2,5,5,3,3,0,0,0,0,2,6,9,9
UHA-0210,P,3,3,8,11,11,13,0,0,7,11,2,2,13,6,1,1,2,2,4,4,8,9,6,14
UHA-0211,P,3,3,7,7,4,4,3,3,1,3,1,1,5,6,2,3,3,3,0,0,2,3,15,1
UHA-0212,P,3,3,7,7,4,4,3,3,1,3,1,1,0,0,2,3,3,3,0,0,2,3,15,1
UHA-0213,P,3,3,3,11,5,5,3,6,12,12,2,2,5,7,2,4,2,2,4,3,5,5,14,12
UHA-0214,P,3,3,3,10,5,5,6,6,8,17,2,4,7,15,2,3,2,2,4,3,6,3,14,12
UHA-0215,P,3,3,13,3,5,4,3,3,12,15,2,2,10,9,2,4,2,2,4,4,2,3,9,17
UHA-0216,P,3,3,13,3,9,4,2,2,12,4,2,1,0,0,2,4,0,0,4,4,2,6,12,9
UHA-0217,P,3,3,3,11,6,4,3,3,12,12,2,2,13,4,2,4,2,2,4,4,2,2,10,15
UHA-0218,P,3,3,3,11,4,4,2,2,16,12,2,2,4,17,2,4,2,2,4,4,2,5,10,14
UHA-0219,P,3,3,13,17,8,7,3,3,12,9,2,2,10,10,2,3,0,0,0,0,2,6,9,9
UHA-0220,P,3,3,13,9,1,8,2,2,12,8,2,2,4,20,2,2,2,2,4,4,2,2,14,9
UHA-0221,P,2,3,13,12,4,15,3,3,11,13,2,2,6,6,3,3,2,2,15,15,8,6,11,9
UHA-0222,P,2,3,13,12,4,15,3,3,11,13,2,2,6,6,3,3,2,2,15,15,8,6,11,9
UHA-0223,P,2,4,13,11,5,3,3,3,14,20,2,2,4,4,6,3,2,2,12,12,8,6,10,14
UHA-0225,P,2,3,14,11,13,3,2,2,11,3,2,2,9,9,2,6,2,2,4,4,9,4,9,9
UHA-0226,P,3,3,11,11,12,9,2,2,11,3,2,2,9,11,6,5,2,2,4,5,4,4,13,9
UHA-0227,P,2,3,13,13,12,3,2,2,10,20,2,2,4,4,6,3,2,2,12,5,7,7,10,13
UHA-0228,P,2,3,13,13,10,3,2,2,11,20,2,2,5,5,6,4,2,2,12,12,8,8,10,13
UHA-0229,P,3,3,10,18,13,4,2,2,11,15,2,2,10,12,3,3,0,0,4,5,8,8,14,11
UHA-0230,P,0,0,11,16,10,7,3,3,16,18,2,2,5,5,4,5,2,2,4,4,7,6,11,9
UHA-0231,P,3,3,17,9,5,8,2,2,10,15,2,2,5,19,4,5,0,0,4,17,7,9,10,9
UHA-0232,P,3,5,9,16,8,4,2,2,16,10,2,2,8,9,4,4,2,2,4,4,8,6,13,9
UHA-0233,P,3,3,15,8,5,7,2,2,15,4,2,2,5,7,0,0,2,3,4,4,9,9,9,9
UHA-0234,P,3,1,13,16,6,8,2,2,15,15,2,2,4,4,6,4,2,2,5,5,9,3,11,13
UHA-0235,P,3,3,13,11,8,8,2,2,14,15,2,2,5,11,4,5,1,1,4,5,9,3,11,13
UHA-0236,P,5,5,15,16,4,7,3,3,11,15,2,2,5,11,4,9,2,2,4,4,9,6,12,9
UHA-0238,P,3,3,15,8,5,9,2,2,10,11,2,2,7,14,6,3,2,4,4,5,7,9,10,9
UHA-0239,P,3,3,14,15,8,9,2,2,10,12,2,2,5,5,3,5,2,2,4,13,7,7,10,9
UHA-0240,P,3,3,13,15,8,9,2,2,10,10,2,2,6,6,6,3,2,2,5,13,6,6,10,13
UHA-0241,P,3,3,15,17,2,13,2,2,9,9,2,2,5,5,3,7,3,3,5,5,8,6,10,13
UHA-0242,P,3,3,13,19,5,8,2,2,6,2,2,2,12,5,3,7,2,3,5,5,8,11,10,9
UHA-0243,P,2,5,13,16,5,8,2,2,16,15,2,2,6,6,7,7,0,0,5,5,6,1,10,9
UHA-0245,P,3,3,14,14,4,3,2,2,13,3,2,2,10,10,2,2,0,0,4,4,9,9,9,9
UHA-0246,P,3,1,13,14,13,5,2,2,10,4,2,2,5,6,4,3,2,3,4,5,6,6,10,13
UHA-0247,P,3,4,14,15,2,8,5,2,11,9,2,2,4,4,6,6,0,0,5,5,9,9,10,12
UHA-0248,P,3,3,8,9,1,1,3,3,8,8,2,2,13,13,2,3,2,2,4,4,7,7,8,16
UHA-0249,P,3,3,8,9,1,1,3,3,7,19,2,2,15,15,3,3,0,0,4,4,7,9,11,11
UHA-0251,P,3,9,7,7,10,10,3,1,8,8,2,1,6,6,1,3,3,1,5,18,5,6,14,18
UHA-0252,P,3,3,12,10,10,4,3,4,10,8,2,2,0,0,1,1,1,4,12,22,2,2,19,19
UHA-0254,P,2,3,15,16,3,3,4,6,7,3,2,1,0,0,2,4,3,3,9,9,6,6,11,15
UHA-0255,P,3,3,12,12,13,13,5,4,8,8,2,2,0,0,4,3,2,3,13,8,9,9,9,15
UHA-0256,P,3,3,6,15,13,6,5,5,20,19,2,2,5,5,0,0,2,2,0,0,9,9,6,12
UHA-0257,P,3,3,14,15,10,1,5,4,14,18,2,2,10,9,1,2,2,2,4,4,7,2,6,6
UHA-0258,P,3,3,14,14,12,5,5,3,14,16,2,3,10,10,1,1,0,0,4,4,7,5,6,6
UHA-0259,P,3,3,15,15,13,6,5,5,10,13,2,2,12,5,0,0,2,2,4,4,7,5,6,12
UHA-0260,P,8,3,13,13,2,13,5,3,7,14,2,7,8,13,1,1,2,2,4,4,12,7,6,6
UHA-0261,P,2,3,13,6,12,11,5,3,7,10,2,3,13,4,1,1,2,2,4,4,12,7,6,6
UHA-0262,P,3,3,13,6,12,13,3,3,12,11,2,2,13,5,1,1,2,2,4,4,8,8,12,11
UHA-0263,P,3,3,13,6,12,13,3,3,12,11,2,3,13,13,1,1,2,3,4,4,7,8,6,11
UHA-0264,P,3,3,13,15,11,6,3,3,14,12,2,2,5,7,1,1,3,3,4,4,7,9,6,2
UHA-0265,P,3,3,13,15,12,13,3,3,12,13,2,3,5,5,1,1,3,3,4,4,7,9,6,13
UHA-0266,P,3,3,13,15,11,1,5,3,18,12,2,2,12,12,1,1,0,0,4,4,8,9,6,10
UHA-0267,P,3,3,13,6,12,13,5,3,16,12,2,2,5,5,1,1,3,3,4,4,7,7,12,11
UHA-0268,P,3,3,15,17,13,13,3,4,16,12,2,3,9,5,0,0,2,2,4,4,2,9,2,8
UHA-0269,P,3,3,15,15,13,5,3,4,10,19,2,2,12,6,1,4,2,2,8,7,7,9,12,5
UHA-0270,P,3,3,10,18,11,17,3,2,16,16,2,2,4,4,1,2,2,3,4,4,2,5,6,8
UHA-0271,P,3,3,6,6,6,15,3,2,20,17,2,2,12,11,1,2,2,3,4,4,7,2,6,7
UHA-0272,P,3,5,13,18,10,13,5,2,16,16,2,3,4,9,1,1,2,2,4,4,2,5,6,6
UHA-0273,P,3,4,6,15,4,18,3,7,7,7,2,2,4,4,6,3,2,3,4,15,5,4,9,5
UHA-0276,P,3,3,11,10,6,4,4,4,8,8,4,4,6,3,4,5,2,2,3,3,6,6,14,12
UHA-0277,P,3,3,0,0,5,7,4,4,8,9,3,5,11,3,2,8,2,2,3,3,6,3,14,12
UHA-0282,P,3,3,13,11,1,1,2,2,7,4,2,2,4,4,5,5,2,2,5,5,6,6,13,9
UHA-0283,P,3,3,3,3,5,5,3,3,11,8,2,2,5,5,2,2,2,2,4,4,6,6,12,15
UHA-0284,P,3,3,14,1,12,9,2,2,14,20,2,2,10,5,6,3,2,2,4,5,6,6,11,13
UHA-0285,P,3,3,3,3,5,4,3,3,8,4,2,2,7,7,2,2,2,2,4,4,6,4,12,18
UHA-0287,P,3,3,8,3,5,4,0,0,13,20,2,2,6,6,2,2,0,0,4,4,6,3,12,18
UHA-0288,P,3,3,14,14,5,7,2,2,11,20,2,2,5,5,0,0,2,2,5,8,2,8,6,9
UHA-0289,P,2,3,13,10,8,8,2,2,17,9,2,2,5,5,5,5,0,0,5,10,6,3,10,9
UHA-0295,P,0,0,11,9,2,6,3,3,14,15,2,2,4,5,6,6,0,0,4,5,6,1,11,13
UHA-0299,P,3,3,13,13,8,8,2,2,10,18,2,2,6,6,5,7,3,3,25,25,2,8,10,11
UHA-0300,P,3,3,3,3,5,5,3,3,15,8,2,2,15,15,2,3,2,2,4,4,2,5,14,12
UHA-0301,P,3,3,13,15,5,8,2,2,10,9,2,2,5,5,3,3,3,3,5,5,2,8,13,8
UHA-0302,P,2,6,13,18,1,8,2,2,12,13,2,3,10,5,4,3,0,0,5,5,8,9,9,9
UHA-0303,P,3,3,14,14,5,8,3,3,16,10,2,2,5,7,4,3,2,3,4,5,8,8,14,9
UHA-0304,P,3,3,14,10,4,3,2,2,18,20,2,2,13,4,2,4,2,2,5,5,6,6,10,9
UHA-0305,P,3,3,13,9,8,7,2,2,21,9,2,2,5,5,6,3,0,0,5,5,2,6,10,8
UHA-0306,P,3,3,13,14,10,8,2,2,7,21,2,2,12,5,3,5,0,0,12,5,9,9,9,8
UHA-0307,P,3,3,15,15,2,11,2,2,14,15,2,2,8,6,6,8,2,2,6,13,9,1,12,9
UHA-0308,P,3,3,13,13,5,8,0,0,11,9,2,2,4,4,3,3,0,0,5,5,2,8,14,8
UHA-0309,P,3,3,14,15,2,4,2,2,15,5,2,2,6,6,6,7,2,2,12,13,9,1,12,12
UHA-0310,P,3,4,11,16,2,11,2,2,14,9,2,2,8,6,4,7,3,3,6,21,9,13,14,9
UHA-0311,P,3,6,3,3,4,20,3,3,15,17,2,2,8,19,2,2,2,2,4,4,2,5,12,18
UHA-0312,P,3,3,13,15,8,9,2,2,14,9,2,2,4,4,2,3,0,0,5,5,2,9,14,8
UHA-0313,P,3,3,15,20,8,9,2,2,14,10,2,2,5,5,2,4,2,1,5,13,9,9,14,14
UHA-0314,P,3,3,3,3,6,7,3,3,7,20,2,1,0,0,0,0,0,0,4,4,7,5,12,12
UHA-0316,P,3,3,14,15,2,10,2,2,14,10,2,2,13,5,4,4,2,1,4,6,9,6,12,9
UHA-0317,P,3,3,14,17,13,5,2,2,15,4,2,2,8,4,2,2,0,0,25,14,10,1,10,10
UHA-0318,P,3,3,15,16,8,3,2,2,10,5,2,2,10,4,4,5,0,0,4,5,2,9,11,11
UHA-0319,P,3,6,3,3,7,20,3,3,15,17,2,2,4,4,2,2,2,2,4,4,2,5,12,12
UHA-0320,P,3,6,3,3,12,20,3,3,13,17,2,2,4,12,2,2,2,2,4,4,2,6,14,12
UHA-0321,P,3,3,13,15,8,8,2,2,18,3,2,2,10,5,3,3,0,0,5,18,2,9,11,9
UHA-0322,P,3,3,15,18,10,9,2,2,10,13,2,3,13,4,5,7,2,2,20,20,2,6,12,11
UHA-0323,P,3,3,3,11,12,7,3,3,17,4,2,2,4,4,2,2,2,2,4,4,2,6,12,8
UHA-0324,P,0,0,3,3,11,5,3,3,18,13,2,2,5,5,2,2,2,2,4,4,5,3,12,12
UHA-0325,P,3,3,3,3,10,5,3,3,18,12,2,2,10,11,2,2,2,2,4,4,3,3,12,17
UHA-0326,P,3,3,3,3,5,5,2,2,13,15,2,2,5,5,2,2,2,2,4,4,2,4,12,12
UHA-0327,P,3,3,3,3,5,5,3,3,18,12,2,2,5,6,0,0,2,2,4,4,5,3,12,12
UHA-0329,P,3,3,13,14,8,8,2,2,11,11,2,2,5,6,4,3,2,2,5,16,9,3,11,1
UHA-0330,P,3,1,14,16,2,10,2,2,10,8,2,2,4,4,4,4,2,3,4,5,8,8,9,8
UHA-0331,P,2,3,0,0,6,4,0,0,10,12,2,2,12,6,2,2,2,2,4,4,5,6,12,12
UHA-0332,P,3,3,13,17,2,13,2,2,14,13,2,2,7,6,5,5,3,3,19,26,9,1,10,9
UHA-0333,P,3,3,3,3,6,19,3,3,18,13,2,2,4,4,2,2,2,2,4,4,5,6,12,12
UHA-0334,P,3,3,3,3,5,5,3,3,8,4,2,2,10,10,2,2,2,2,4,4,6,3,12,3
UHA-0335,P,2,3,13,18,5,7,2,2,10,11,2,2,5,6,4,4,3,3,5,24,8,8,10,9
UHA-0337,P,3,4,13,13,2,1,2,2,12,11,2,2,4,4,4,5,2,2,5,6,2,9,10,9
UHA-0338,P,3,5,3,9,5,5,3,3,8,22,2,2,13,6,0,0,2,2,4,4,2,6,14,12
UHA-0339,P,3,3,3,3,5,5,2,2,20,17,2,2,10,10,2,3,2,2,4,4,6,6,12,12
UHA-0340,P,3,3,17,12,12,13,2,2,14,16,2,2,11,6,4,4,2,2,4,5,2,6,10,8
UHA-0343,P,3,3,3,3,11,5,2,2,14,20,2,4,6,16,2,7,2,2,4,4,6,3,12,12
UHA-0345,P,3,3,14,17,2,8,2,2,15,9,2,2,5,5,4,8,3,3,5,10,7,6,11,9
UHA-0346,P,3,1,11,9,5,5,0,0,15,6,2,2,4,6,2,6,2,2,5,5,8,6,10,16
UHA-0347,P,3,1,14,15,11,5,2,2,16,10,2,2,4,5,4,3,0,0,6,11,9,6,13,9
UHA-0348,P,4,4,13,18,2,8,2,2,12,15,2,2,4,11,4,7,2,2,24,23,2,9,10,10
UHA-0349,P,3,3,15,11,2,8,0,0,16,4,2,2,0,0,6,7,0,0,5,6,9,6,10,9
UHA-0350,P,3,3,3,3,5,5,3,3,7,12,2,2,5,5,2,2,2,2,4,4,6,6,14,12
UHA-0352,P,3,3,11,18,1,8,2,2,6,6,2,2,4,4,6,8,0,0,4,21,6,6,10,10
UHA-0353,P,3,3,14,16,1,8,2,2,10,4,2,2,4,5,5,5,0,0,5,5,2,8,12,9
UHA-0354,P,3,3,12,16,2,12,3,3,16,10,2,2,8,6,4,4,0,0,6,6,5,6,9,8
